:10
1:2
5V1:1
A:1
B:1
B1:1
C:1
C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C2:1
C20:1
C21:1
C22:1
C23:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
CON1:1
D:1
E:1
F:1
G:2
G1:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R19:1
R2:1
R20:1
R21:1
R22:1
R23:1
R24:1
R25:1
R26:1
R27:1
R28:1
R29:1
R3:1
R30:1
R31:1
R32:1
R33:1
R34:1
R35:1
R36:1
R37:1
R38:1
R39:1
R4:1
R40:1
R41:1
R42:1
R5:1
R6:1
R7:1
R8:1
R9:1
RIN:1
S1:1
SL1:1
SN1:1
SR2:1
U1:1
U2:1
XL1:1
XR2:1
YL1:1
YR2:1
